KOI,kepmag,rhostar,teff,rstar,mstar,logg,[M/H],Binary,TTVperiod,radius,radius_em,radius_ep,nTT,SNR,MES,chisqwttv,n,min_p,max_p,mean_p,range_p,log_range_p,normstd_p,dpp,mean_dpp,gapc,gini,logstd_p,zeta,mean_zeta,min_r,max_r,mean_r,range_r,std_r,normstd_r,logstd_r,r_rat,mean_rrat,gini_r,subearth,supearth,subnep,nepplus,N_first,N_second,res_frac,deltas,min_abs_delta,med_abs_delta,res_summary
2148,13.353,0.43849,5654,1.58,1.23,4.057,0.417,0,[ 3.61456972  7.54240326 11.93206303],[1.276 1.82  2.113],[-0.087 -0.083 -0.084],[0.112 0.108 0.13 ],[285. 141.  90.],[14.9 25.8 32.3],[11.1 19.1 23.4],[7826.7 5562.4 4702.9],3,3.61456972,11.93206303,7.696345337,8.31749331,0.518658933,0.441423377,[1.08666697 0.58199749],0.834332232,0.168866048,0.137562181,0.06026663,[0.23926458 0.8453386 ],0.542301592,1.276,2.113,1.736333333,0.837,0.346787479,0.199724023,0.092350455,[1.42633229 1.16098901],1.29366065,0.160683433,0,2,1,0,0,0,0,[ 0.04333349 -0.05080151],0.043333487,0.047067496,[0. 0.]
2163,14.651,1.67741,5735,0.9,0.89,4.474,-0.245,1,[10.66493632 17.78345269 28.22496547],[1.56  1.443 1.305],[-0.123 -0.123 -0.142],[0.172 0.159 0.168],[114.  75.  45.],[25.3 18.7  8.9],[21.7 15.1  8. ],[3381.1 2176.3  912.5],3,10.66493632,28.22496547,18.89111816,17.56002915,0.422675153,0.381740852,[0.66746919 0.58714767],0.627308427,0.008397269,0.024679255,0.010721057,[1.4945895  0.89055282],1.19257116,1.305,1.56,1.436,0.255,0.104220919,0.072577242,0.03175012,[0.925     0.9043659],0.914682952,0.059192201,0,3,0,0,0,1,0.5,[ 0.00048151 -0.0477114 ],0.000481512,0.024096455,[1.66666667 0.        ]
2169,14.834,0.96015,5350,1.08,0.87,4.308,0.086,0,[3.26662197 4.27223792 5.45297445],[0.664 0.603 0.798],[-0.039 -0.04  -0.042],[0.06  0.045 0.054],[390. 317. 246.],[18.6 13.7 21. ],[18.  13.7 23.1],[7751.4 5912.3 4731.5],3,3.26662197,5.45297445,4.330611447,2.18635248,0.222534584,0.206328496,[0.30784583 0.27637425],0.292110037,0.007376249,0.012178369,0.005289358,[0.7451377  1.14515353],0.945145615,0.603,0.798,0.688333333,0.195,0.081446642,0.11832442,0.05056549,[0.90813253 1.32338308],1.115757807,0.094430993,3,0,0,0,1,1,1,[ 0.01721342 -0.00726448],0.007264476,0.012238949,[0.         1.28571429]
2174,15.673,3.533,4245,0.64,0.65,4.641,0,0,[ 3.01610646  6.69329801  7.72516951 33.13623937],[0.889 1.726 1.225 1.793],[-0.102 -0.126 -0.12  -0.146],[0.159 0.202 0.18  0.189],[418. 195. 166.  38.],[ 8.1 23.4 10.5 16.3],[ 7.4 17.9 11.7 11.4],[6188.9 3722.4 3094.9 1315.7],4,3.01610646,33.13623937,12.64270334,30.12013291,1.040856552,0.946056049,[1.21918493 0.15416488 3.2893867 ],1.554245506,0.592530305,0.409151719,0.240440922,[0.53933967 1.45968469 0.91202412],0.970349491,0.889,1.793,1.40825,0.904,0.371550384,0.263838369,0.124888528,[1.94150731 0.70973349 1.46367347],1.37163809,0.190129593,1,3,0,0,0,0,0,[ 0.10959247 -0.03819593  0.42979557],0.038195931,0.109592466,[0. 0. 0.]
2183,15.504,3.23799,4820,0.65,0.65,4.617,-0.44,0,[  4.57947332  19.02309588 150.3814056 ],[1.471 2.05  2.061],[-0.087 -0.12  -0.211],[0.125 0.187 0.231],[282.  68.   8.],[20.  19.7  7.8],[18.  18.8  7.8],[6638.8 2040.3  330.9],3,4.57947332,150.3814056,57.99465827,145.8019323,1.516378607,1.131015803,[3.15399208 6.90520147],5.029596775,0.108302801,0.311066356,0.141460453,[0.9511755 0.4344551],0.692815302,1.471,2.061,1.860666667,0.59,0.275572535,0.148104193,0.068699284,[1.39360979 1.00536585],1.199487821,0.105696883,0,1,2,0,0,0,0,[0.38466403 1.63506716],0.384664025,1.009865592,[0. 0.]
2194,13.865,0.63765,5710,1.26,0.88,4.241,-0.203,0,[ 34.76298361  67.96842021 445.2180022 ],[2.164 2.271 1.832],[-0.122 -0.097 -0.148],[0.183 0.151 0.136],[39. 22.  4.],[24.  27.3 11.1],[19.6 20.4  7.9],[1392.8 1156.1  400.6],3,34.76298361,445.2180022,182.649802,410.4550186,1.107455673,1.019207174,[0.95519524 5.55036561],3.252780426,0.610881478,0.540254834,0.273025306,[0.14071916 0.54050493],0.340612046,1.832,2.271,2.089,0.439,0.186902827,0.089469998,0.040005369,[1.04944547 0.80669309],0.928069279,0.070049465,0,1,2,0,0,0,0,[-0.02240238  1.1834552 ],0.022402378,0.60292879,[0. 0.]
2195,15.961,1.38632,5580,0.97,0.92,4.423,0.001,0,[ 6.84974223 20.0546569  30.09016159],[1.485 2.206 1.96 ],[-0.099 -0.14  -0.13 ],[0.117 0.14  0.155],[194.  70.  44.],[17.  26.9 16.6],[14.3 22.6 14.9],[7835.3 4167.7 2441.7],3,6.84974223,30.09016159,18.99818691,23.24041936,0.642750292,0.500954405,[1.92779731 0.5004077 ],1.214102506,0.565274696,0.322340454,0.147107589,[1.4438198  0.00488839],0.724354096,1.485,2.206,1.883666667,0.721,0.299255001,0.158868342,0.072272757,[1.48552189 0.88848595],1.187003916,0.127588038,0,1,2,0,1,0,0.5,[-0.02406756  0.0002718 ],0.000271799,0.01216968,[0.  1.5]
2220,14.686,0.62716,5732,1.34,1.03,4.188,0.139,0,[ 1.89782214  3.28279781  5.0281665   7.66463518 11.92923256],[1.558 1.606 1.809 1.441 1.357],[-0.089 -0.092 -0.094 -0.105 -0.123],[0.129 0.111 0.122 0.105 0.148],[675. 409. 255. 163. 110.],[27.2 24.4 26.1 13.2  9.5],[22.6 17.4 20.1  9.8  0. ],[16633.8 11467.8  7915.2  5303.9  3414.9],5,1.89782214,11.92923256,5.960530838,10.03141042,0.798356996,0.59587762,[0.72977106 0.53167109 0.52433997 0.55639926],0.585545346,0.014963496,0.033690902,0.02242886,[1.11087829 0.35741372 0.27852126 0.60818842],0.588750423,1.357,1.809,1.5542,0.452,0.154481585,0.099396207,0.042665919,[1.03080873 1.126401   0.79657269 0.94170715],0.973872391,0.068781367,0,5,0,0,2,0,0.5,[0.03786263 0.02111406 0.01622665 0.03759951],0.016226648,0.029356785,[0.  1.5 1.5 0. ]
2243,14.689,0.1556,5850,2.24,1.27,3.834,0.009,0,[ 5.18557989  8.4580914  31.44568806],[2.177 2.197 3.09 ],[-0.114 -0.128 -0.227],[0.137 0.2   0.303],[261. 154.  44.],[27.5 18.3 12.7],[22.7 16.   9.4],[8898.5 3984.   648.1],3,5.18557989,31.44568806,15.02978645,26.26010817,0.782763772,0.777417938,[0.63107918 2.71782316],1.674451168,0.576289509,0.390125645,0.182463915,[1.24623836 1.10382458],1.175031471,2.177,3.09,2.488,0.913,0.425756581,0.171124028,0.071034254,[1.00918695 1.40646336],1.207825157,0.122320472,0,0,3,0,0,0,0,[-0.02135249  0.23927439],0.021352491,0.130313438,[0. 0.]
2248,12.301,0.24085,7100,2.11,1.64,4,0.023,0,[0.76196218 2.64622956 2.81814116 4.74507981],[1.08  1.026 1.313 0.978],[-0.093 -0.135 -0.1   -0.105],[0.13  0.15  0.188 0.14 ],[1741.  490.  470.  282.],[18.3  8.4 16.5 10.9],[16.8  7.6 18.7  0. ],[20572.9  6751.8  7626.   6073.7],4,0.76196218,4.74507981,2.742853178,3.98311763,0.794310106,0.513916,[2.47291457 0.06496473 0.68376229],1.073880532,0.736770688,0.387028054,0.217644263,[1.2131434  1.17890055 1.3874897 ],1.259844551,0.978,1.313,1.09925,0.335,0.12857561,0.116966668,0.04870086,[0.95      1.2797271 0.7448591],0.991528732,0.08028201,1,3,0,0,0,1,0.333333333,[ 0.15763819 -0.11252939  0.01025737],0.010257373,0.112529388,[0.         0.         1.66666667]
