KOI,kepmag,rhostar,teff,rstar,mstar,logg,[M/H],Binary,TTVperiod,radius,radius_em,radius_ep,nTT,SNR,MES,chisqwttv,n,min_p,max_p,mean_p,range_p,log_range_p,normstd_p,dpp,mean_dpp,gapc,gini,logstd_p,zeta,mean_zeta,min_r,max_r,mean_r,range_r,std_r,normstd_r,logstd_r,r_rat,mean_rrat,gini_r,subearth,supearth,subnep,nepplus,N_first,N_second,res_frac,deltas,min_abs_delta,med_abs_delta,res_summary
2704,17.475,13.52866,3264,0.3,0.27,4.906,0.229,0,[2.98414433 4.87122503 8.15275543],[1.533 2.41  1.207],[-0.093 -0.094 -0.099],[0.167 0.21  0.138],[203. 120.  70.],[24.3 50.5 10.4],[19.5 42.   7.1],[2411.3 1764.5 1113.9],3,2.98414433,8.15275543,5.336041597,5.1686111,0.43648459,0.400206995,[0.63236911 0.67365609],0.6530126,0.002018579,0.012488403,0.005424032,[1.25593527 1.4533109 ],1.354623084,1.207,2.41,1.716666667,1.203,0.508004156,0.295924751,0.125862415,[1.57208089 0.50082988],1.036455381,0.233592233,0,2,1,0,0,1,0.5,[-0.02057853  0.00419365],0.004193653,0.012386093,[0.         1.66666667]
2707,14.467,0.29073,5578,1.86,0.97,4.483,-0.085,0,[14.42511329 26.67582856 58.0335465 ],[2.728 3.94  5.09 ],[-0.379 -0.5   -0.607],[0.711 1.    1.213],[91. 50. 25.],[15.3 20.  34.9],[12.4 17.  25.8],[2694.4 1158.6 1068.7],3,14.42511329,58.0335465,33.04482945,43.60843321,0.604559879,0.555725648,[0.84926302 1.17551055],1.012386785,0.044102204,0.081059847,0.035310284,[0.53247455 0.44791742],0.490195984,2.728,5.09,3.919333333,2.362,0.964393189,0.246060518,0.112031795,[1.44428152 1.29187817],1.368079849,0.200884504,0,0,2,1,0,0,0,[-0.07536849  0.08775528],0.07536849,0.081561883,[0. 0.]
2714,13.312,0.353,6047,1.69,1.17,4.07,0.004,0,[ 14.38312565  47.31879794 184.2636218 ],[2.289 2.774 2.931],[-0.104 -0.173 -0.158],[0.142 0.488 0.172],[89. 27.  7.],[39.  36.2 21.1],[28.8 26.3 16.1],[6170.6 2362.5  582.8],3,14.38312565,184.2636218,81.98851513,169.8804962,1.107586329,0.89718376,[2.28988282 2.89408924],2.591986028,0.014245782,0.084104784,0.036645171,[1.31011071 1.03659554],1.173353125,2.289,2.931,2.664666667,0.642,0.273259746,0.102549317,0.046088004,[1.21188292 1.05659697],1.134239945,0.080310233,0,0,3,0,0,0,0,[0.09662761 0.29802975],0.096627606,0.197328676,[0. 0.]
2715,16.835,2.94435,4119,0.67,0.65,4.589,0.315,0,[ 2.22650285  5.72089162 11.12826312],[2.879 2.429 5.172],[-0.163 -0.152 -0.21 ],[0.19  0.209 0.304],[276. 107.  59.],[35.8 20.5 65.6],[31.1 15.1 55.1],[4294.3 2029.4 1305. ],3,2.22650285,11.12826312,6.35855253,8.90176027,0.69880413,0.575916185,[1.56945174 0.94519733],1.257324536,0.095706193,0.138273074,0.060583599,[1.08850446 0.1739404 ],0.63122243,2.429,5.172,3.493333333,2.743,1.201129006,0.343834639,0.142598475,[0.84369573 2.12927131],1.486483516,0.261736641,0,0,2,1,0,0,0,[-0.14351609 -0.02740133],0.027401334,0.08545871,[0. 0.]
2722,13.268,1.17699,6118,1.09,1.07,4.362,-0.05,0,[ 4.0287519   6.12478255  8.92112441 11.2427106  16.53398267],[1.113 1.256 1.169 1.292 1.049],[-0.061 -0.063 -0.071 -0.072 -0.09 ],[0.079 0.08  0.078 0.085 0.09 ],[328. 218. 148. 117.  82.],[18.6 20.1 15.3 17.4  9.3],[21.9 27.2 15.4 17.8  7.8],[8196.1 6450.1 4860.1 4111.8 1918. ],5,4.0287519,16.53398267,9.370270426,12.50523077,0.613206955,0.462954364,[0.52026799 0.45656182 0.26023471 0.47064024],0.42692619,0.048784451,0.046380481,0.031302253,[0.23374095 0.57085169 0.47194502 0.37429551],0.412708295,1.049,1.292,1.1758,0.243,0.08944585,0.076072333,0.033247454,[1.12848158 0.93073248 1.10521814 0.8119195 ],0.994087926,0.053495492,0,5,0,0,2,0,0.5,[ 0.01351199 -0.02895879  0.00818776 -0.01957317],0.008187765,0.016542581,[1.5  0.   1.25 0.  ]
2732,12.805,0.31234,6109,1.8,1.3,4.08,0.081,0,[ 7.03145274 13.6116442  24.56045782 54.28106641],[1.698 1.786 1.363 2.221],[-0.076 -0.097 -0.088 -0.132],[0.093 0.136 0.106 0.169],[186. 102.  59.  24.],[33.8 31.6 14.9 20. ],[24.5 19.5  8.3 14.7],[9307.5 6266.9 4148.5 1150.2],4,7.03145274,54.28106641,24.87115529,47.24961367,0.887603309,0.727648199,[0.93582247 0.80437113 1.21009994],0.98343118,0.026137573,0.068186352,0.036552874,[0.20573624 0.72962168 0.52086593],0.485407947,1.363,2.221,1.767,0.858,0.305963233,0.173154065,0.075654089,[1.05182568 0.76315789 1.62949376],1.148159112,0.12554235,0,3,1,0,0,0,0,[-0.03208877  0.08262268  0.10504997],0.032088766,0.082622678,[0. 0. 0.]
2842,15.003,2.03241,5288,0.84,0.85,4.522,-0.035,0,[1.56541081 3.03621178 5.14891616],[1.174 0.938 1.071],[-0.049 -0.042 -0.053],[0.062 0.055 0.071],[339. 162.  96.],[47.8 26.  25.4],[33.5 18.2 17.2],[3019.6 1634.1  971.4],3,1.56541081,5.14891616,3.250179583,3.58350535,0.517087492,0.45251736,[0.93956229 0.69583564],0.817698969,0.041208246,0.067042633,0.02917639,[0.19297616 1.31136293],0.752169542,0.938,1.174,1.061,0.236,0.096605728,0.091051581,0.040050101,[0.79897785 1.14179104],0.970384449,0.074143889,1,2,0,0,0,0,0,[-0.03021885  0.01750139],0.017501387,0.02386012,[0. 0.]
2859,13.851,1.43755,5263,0.95,0.84,4.513,-0.064,0,[2.0054092  2.90513115 3.44620774 4.28887482 5.43099977],[0.748 0.759 0.881 0.752 0.794],[-0.054 -0.061 -0.05  -0.055 -0.068],[0.064 0.061 0.064 0.065 0.056],[633. 457. 367. 297. 247.],[13.9 13.2 15.6 11.1 10.8],[10.7  8.6 13.2  7.4  9.4],[11811.3  6876.3  7164.9  6976.6  5198.7],5,2.0054092,5.43099977,3.615324536,3.42559057,0.432676781,0.324346166,[0.44864756 0.18624859 0.24452011 0.26629944],0.286428925,0.102350051,0.052404517,0.032224763,[0.68676317 1.10750421 0.26892977 0.73448613],0.69942082,0.748,0.881,0.7868,0.133,0.049829309,0.063331607,0.026608303,[1.01470588 1.16073781 0.85357548 1.05585106],1.02121756,0.039145907,5,0,0,0,3,0,0.75,[-0.03423496 -0.01145951 -0.00438392  0.01303955],0.004383916,0.012249528,[0.   1.2  1.25 1.25]
2871,15.29,3.24698,4156,0.65,0.63,4.613,0.114,0,[ 5.3637802   7.97882825 12.09997491],[0.933 0.789 1.115],[-0.056 -0.072 -0.076],[0.08  0.094 0.09 ],[254. 163. 110.],[14.3  8.3 15.1],[12.   8.  12.9],[6306.9 4053.3 3329.8],3,5.3637802,12.09997491,8.48086112,6.73619471,0.353313497,0.326954704,[0.48753826 0.51651026],0.502024259,0.001837349,0.009644319,0.004188653,[0.15336326 0.19179012],0.172576691,0.789,1.115,0.945666667,0.326,0.133389988,0.141053917,0.06148001,[0.84565916 1.41318124],1.129420203,0.114910116,2,1,0,0,2,0,1,[-0.00830783  0.01100684],0.008307829,0.009657335,[1.5 1.5]
2906,14.615,1.00618,5729,1.1,0.97,4.337,0.016,0,[ 13.90908164  21.94221467 145.883639  ],[1.484 1.348 2.039],[-0.094 -0.099 -0.165],[0.113 0.119 0.198],[99. 61. 10.],[15.6 10.7 11.2],[12.2  7.7  7.6],[5532.4 3039.8  871.7],3,13.90908164,145.883639,60.57831177,131.9745574,1.020708132,0.99720608,[0.5775459  5.64853759],3.113041742,0.86928371,0.616452738,0.329169598,[0.80560763 0.53111092],0.668359275,1.348,2.039,1.623666667,0.691,0.298887195,0.184081623,0.077116622,[0.9083558  1.51261128],1.210483536,0.141859988,0,2,1,0,0,0,0,[0.05169726 1.2161792 ],0.051697265,0.63393823,[0. 0.]
2926,16.279,4.656,4141,0.55,0.56,4.701,-0.265,1,[ 5.53608548 12.28547949 20.9571375  37.63354937 75.73163337],[1.894 2.173 2.359 2.196 2.681],[-0.135 -0.161 -0.182 -0.145 -0.247],[0.195 0.232 0.251 0.271 0.345],[89. 42. 23. 16.  6.],[22.6 23.8 22.7 18.6 16.3],[17.2 16.7 16.2 12.8 11.4],[1772.7 1021.   470.6  572.8  176.3],5,5.53608548,75.73163337,30.42877704,70.19554789,1.136074537,0.823926583,[1.21916362 0.70584612 0.79573901 1.01234363],0.933273095,0.028727086,0.075716028,0.044362442,[0.53929665 1.25021817 0.77008034 0.03657937],0.649043633,1.894,2.681,2.2606,0.787,0.257938442,0.114101762,0.049370713,[1.14730729 1.08559595 0.93090292 1.2208561 ],1.096165566,0.077855437,0,1,4,0,1,0,0.25,[0.10958181 0.02350767 0.07744341 0.00617182],0.006171815,0.050475539,[0. 0. 0. 2.]
3083,14.323,1.63892,5572,0.92,0.92,4.471,-0.017,0,[ 6.23220535  8.29425613 10.18315435],[0.626 0.684 0.811],[-0.068 -0.055 -0.054],[0.074 0.071 0.069],[212. 158. 128.],[ 8.5 10.1 11.2],[7.4 7.6 9.2],[5332.6 4796.1 3392.8],3,6.23220535,10.18315435,8.23653861,3.950949,0.213240572,0.195893506,[0.33087016 0.2277357 ],0.27930293,0.086511333,0.04030885,0.017518961,[0.06700079 1.17316525],0.620083019,0.626,0.811,0.707,0.185,0.077257146,0.109274606,0.046730572,[1.09265176 1.18567251],1.139162136,0.087223008,3,0,0,0,2,0,1,[-0.00184738 -0.01781144],0.00184738,0.00982941,[1.33333333 1.2       ]
3097,13.429,0.37823,5948,1.69,1.31,4.067,0.255,0,[ 6.80255833  8.70296645 11.92175111],[0.922 0.918 1.064],[-0.054 -0.06  -0.061],[0.071 0.078 0.077],[196. 154. 112.],[14.7 13.  15.1],[11.2 10.2 12.6],[7621.1 6252.9 4586.8],3,6.80255833,11.92175111,9.142425297,5.11919278,0.243667776,0.231106888,[0.27936668 0.36984914],0.324607909,0.047981092,0.034154432,0.014841018,[1.26142507 0.88858463],1.075004853,0.918,1.064,0.968,0.146,0.06790189,0.070146581,0.029799496,[0.99566161 1.15904139],1.0773515,0.050275482,2,1,0,0,2,1,1.5,[-0.00493703 -0.02153633],0.004937029,0.013236678,[1.28571429 1.33333333]
3158,10.326,0.16008,9599,2.74,2.4,3.936,-0.171,0,[3.60013004 4.54586316 6.18944555 7.74345208 9.74051754],[0.571 0.709 0.736 0.712 0.895],[-0.023 -0.031 -0.027 -0.032 -0.043],[0.034 0.045 0.047 0.041 0.059],[375. 228. 165. 171. 136.],[21.5 24.4 26.8 24.3 25.8],[22.8 27.6 29.6 30.2 31.8],[7358.2 4905.2 4648.6 4132.3 2166.8],5,3.60013004,9.74051754,6.363881674,6.1403875,0.432263845,0.346263527,[0.26269416 0.36155562 0.25107362 0.25790377],0.283306793,0.022979003,0.021833983,0.015063541,[0.57987535 0.70252154 0.05131363 0.36775423],0.425366186,0.571,0.895,0.7246,0.324,0.103112754,0.142303,0.062146915,[1.24168126 1.03808181 0.9673913  1.25702247],1.126044211,0.093154844,5,0,0,0,4,0,1,[0.01015532 0.02116672 0.0008589  0.00632301],0.0008589,0.008239169,[1.25       1.33333333 1.25       1.25      ]
3184,11.36,0.43807,5815,1.58,1.24,4.131,0.286,0,[ 4.02010728  7.54760148 11.3224987 ],[0.615 0.651 0.591],[-0.042 -0.04  -0.05 ],[0.046 0.051 0.061],[330. 177. 119.],[14.4 13.4 10.5],[9.1 9.8 0. ],[10143.2  6054.3  5508.8],3,4.02010728,11.3224987,7.630069153,7.30239142,0.449704637,0.390790571,[0.8774627  0.50014528],0.688803989,0.148254588,0.111711433,0.048795257,[0.41894874 0.0017428 ],0.210345767,0.591,0.651,0.619,0.06,0.024657656,0.039834662,0.017236121,[1.05853659 0.9078341 ],0.983185343,0.032310178,3,0,0,0,1,0,0.5,[-6.12686485e-02  9.68501939e-05],9.69E-05,0.030682749,[0.  1.5]
3319,15.94,0.54985,6042,1.41,1.15,4.186,0.002,0,[ 3.54554902  8.23985028 19.59077749],[1.899 2.748 3.017],[-0.144 -0.182 -0.249],[0.187 0.218 0.272],[366. 164.  68.],[18.1 29.4 24.9],[13.7 24.6 19.7],[12643.6  6987.4  3855.1],3,3.54554902,19.59077749,10.4587256,16.04522847,0.742368178,0.644028795,[1.32399841 1.37756474],1.350781574,0.000580979,0.011393303,0.004948343,[0.73413625 0.82224391],0.77819008,1.899,3.017,2.554666667,1.118,0.476455198,0.186503861,0.08720547,[1.44707741 1.09788937],1.272483392,0.145876827,0,1,2,0,0,0,0,[0.1619992  0.18878237],0.161999204,0.175390787,[0. 0.]
3344,15.254,1.85924,5495,0.87,0.89,4.503,-0.06,0,[  3.63901032  11.60455577 208.5078693 ],[1.268 1.431 2.154],[-0.085 -0.095 -0.17 ],[0.099 0.124 0.234],[355. 121.   4.],[16.  14.5 10.4],[12.7 11.7  8.2],[7355.  3531.1  368.2],3,3.63901032,208.5078693,74.5838118,204.868859,1.758139163,1.270442278,[ 2.18893181 16.96775968],9.578345747,0.515296801,0.698541541,0.402578606,[1.3705315 0.1768059],0.7736687,1.268,2.154,1.617666667,0.886,0.385038815,0.238021109,0.09914186,[1.1285489  1.50524109],1.316894993,0.182567484,0,2,1,0,0,0,0,[0.06297727 4.98925323],0.06297727,2.526115249,[0. 0.]
3398,15.213,0.00316,5018,9.7,2.17,2.789,-0.118,0,[ 4.32711675  7.31941195 35.80102743],[1.374 1.933 3.067],[-0.117 -0.114 -0.137],[0.128 0.137 0.161],[251. 143.  33.],[ 9.4 16.3 25. ],[ 9.7 13.3 15.3],[7861.9 6068.2 2124.9],3,4.32711675,35.80102743,15.81585204,31.47391068,0.917696877,0.89684418,[0.69152172 3.89124368],2.291382697,0.668136245,0.486075649,0.237883745,[1.33825855 0.77096174],1.054610148,1.374,3.067,2.124666667,1.693,0.704326787,0.3314999,0.144841929,[1.40684134 1.58665287],1.496747105,0.265610292,0,1,2,0,0,1,0.5,[0.01491303 0.63041456],0.01491303,0.322663795,[1.66666667 0.        ]
3425,13.266,0.234,6151,2.06,1.32,4.079,0.014,0,[ 3.1572046   7.6437073  20.03479967],[1.479 1.761 2.336],[-0.08  -0.121 -0.118],[0.096 0.157 0.151],[415. 174.  70.],[17.2 13.2 22.9],[13.8  8.2 16.5],[12743.1  4128.6  3701.5],3,3.1572046,20.03479967,10.27857052,16.87759507,0.802482277,0.694425538,[1.42103641 1.6210841 ],1.521060257,0.006027887,0.039675309,0.017243211,[0.88886479 1.14938657],1.019125684,1.479,2.336,1.858666667,0.857,0.356619623,0.19186852,0.082161601,[1.19066937 1.32651902],1.258594197,0.153694405,0,2,1,0,0,0,0,[-0.19298786 -0.1263053 ],0.1263053,0.159646581,[0. 0.]
3429,15.364,0.83355,5693,1.13,1.01,4.287,0.071,0,[ 8.7419614  15.82798802 44.43539936],[1.86  1.694 1.631],[-0.42  -0.407 -0.341],[0.735 0.712 0.739],[129.  71.  26.],[18.5  9.8  8. ],[14.5  8.5  7.1],[4702.5 2270.6 1311.1],3,8.7419614,44.43539936,23.00178293,35.69343796,0.706120203,0.670794581,[0.81057629 1.80739405],1.308985168,0.225289932,0.21585625,0.095805179,[0.70107052 1.34015167],1.020611091,1.631,1.86,1.728333333,0.229,0.096589624,0.055885993,0.023988359,[0.91075269 0.96280992],0.936781303,0.044165863,0,3,0,0,0,0,0,[ 0.08634577 -0.06420198],0.064201984,0.075273878,[0. 0.]
3444,13.693,5.08692,3683,0.52,0.51,4.712,0.283,0,[ 2.63596564 12.67139506 14.15015401],[0.502 0.757 0.742],[-0.054 -0.052 -0.078],[0.059 0.066 0.1  ],[510. 107.  92.],[ 9.1 13.6  9.3],[11.4 10.2  8. ],[6172.9 2002.6 1398.6],3,2.63596564,14.15015401,9.81917157,11.51418837,0.729821422,0.520924223,[3.80711693 0.11670056],1.961908748,0.862457693,0.622979417,0.334438428,[0.78799786 1.29318336],1.040590611,0.502,0.757,0.667,0.255,0.116833214,0.175162241,0.082454805,[1.50796813 0.98018494],1.244076534,0.127436282,3,0,0,0,0,0,0,[ 0.60237231 -0.0694162 ],0.069416197,0.335894254,[0. 0.]
3925,14.016,0.16496,5408,2.16,1.19,3.843,0.145,0,[2.59026336 5.32440344 9.20746401],[1.456 1.485 2.804],[-0.084 -0.111 -0.126],[0.103 0.149 0.238],[36. 17. 10.],[18.3 14.6 43.4],[13.1 10.4 29. ],[675.9 393.2 280.2],3,2.59026336,9.20746401,5.707376937,6.61720065,0.550796108,0.475700142,[1.05554521 0.72929496],0.892420082,0.059899902,0.086199216,0.037563906,[0.15786688 1.11356198],0.635714428,1.456,2.804,1.915,1.348,0.628729407,0.328318228,0.133898826,[1.01991758 1.88821549],1.454066535,0.234638816,0,2,1,0,1,0,0.5,[0.0277726  0.03757697],0.027772605,0.032674789,[2. 0.]
4032,11.968,0.19914,6217,2.18,1.49,3.929,0.166,1,[2.89225969 3.95116398 5.10112466 5.99275223 7.23524835],[0.788 0.918 0.951 0.985 0.913],[-0.048 -0.046 -0.049 -0.053 -0.054],[0.052 0.075 0.063 0.074 0.075],[391. 293. 264. 227. 188.],[17.2 20.4 19.5 19.2 15.2],[13.2 16.4 14.8 15.1  9. ],[10081.5  7754.4  6006.8  5170.9  4396.4],5,2.89225969,7.23524835,5.034509782,4.34298866,0.398216158,0.301612733,[0.3661166  0.29104352 0.17479039 0.20733314],0.259820913,0.076583263,0.043504134,0.025559733,[0.80588921 1.30773673 0.83658503 0.53053293],0.870185976,0.788,0.985,0.911,0.197,0.066720312,0.073238542,0.033101862,[1.16497462 1.03594771 1.03575184 0.92690355],1.040894431,0.047420417,5,0,0,0,2,1,0.75,[-0.02420243  0.00414496 -0.02100801  0.00611095],0.004144961,0.013559478,[1.33333333 1.28571429 0.         1.2       ]
4084,14.608,0.07201,5562,3.03,1.45,3.629,-0.048,0,[  8.19610407  10.72903285 214.8795372 ],[1.217 2.003 2.368],[-0.118 -0.31  -0.127],[0.14  0.568 0.191],[164. 126.   7.],[ 9.3  9.8 16.1],[ 7.3  8.1 15.3],[3051.2 1153.   537. ],3,8.19610407,214.8795372,77.93489137,206.6834331,1.418587596,1.242575784,[ 0.30904058 19.02785714],9.668448863,0.936563788,0.877297947,0.672685439,[0.70746292 0.15766358],0.432563248,1.217,2.368,1.862666667,1.151,0.480257107,0.257833093,0.123868203,[1.64585045 1.18222666],1.414038556,0.205977094,0,1,2,0,0,0,0,[0.01814268 5.67595238],0.018142676,2.847047528,[0. 0.]
4246,13.382,1.7924,5710,0.92,1.02,4.469,0.255,0,[5.558328   6.98474826 8.75630846],[0.674 0.881 0.834],[-0.072 -0.065 -0.07 ],[0.072 0.078 0.083],[241. 198. 158.],[ 9.  10.2  9.8],[ 0. 11.  9.],[5762.2 4426.1 3978.5],3,5.558328,8.75630846,7.099794907,3.19798046,0.197376881,0.184245051,[0.25662758 0.25363265],0.255130114,9.01E-05,0.001193076,0.000518147,[0.30990805 0.17186976],0.240888903,0.674,0.881,0.796333333,0.207,0.088605242,0.111266524,0.05025012,[1.30712166 0.94665153],1.126886597,0.086647133,3,0,0,0,2,0,1,[0.00530206 0.00290612],0.002906119,0.004104091,[1.25 1.25]
4288,15.05,2.87242,4460,0.7,0.71,4.594,0.112,0,[ 6.28385406  9.08742267 13.95134254],[0.83  0.829 0.828],[-0.045 -0.055 -0.064],[0.067 0.065 0.083],[202. 142.  96.],[14.9 11.7 11.2],[11.  10.   8.1],[7606.1 4823.4 4201.3],3,6.28385406,13.95134254,9.774206423,7.66748848,0.346389912,0.324086227,[0.44615432 0.53523645],0.490695384,0.018290471,0.02987939,0.012981767,[0.72413085 0.39500059],0.559565719,0.828,0.83,0.829,0.002,0.000816497,0.000984917,0.000427745,[0.99879518 0.99879373],0.998794454,0.000804182,3,0,0,0,1,0,0.5,[0.03296737 0.02349097],0.023490968,0.028229168,[0.  1.5]
4385,15.825,2.16243,5100,0.83,0.84,4.514,0.102,0,[  7.29810443  17.3702977  386.3728943 ],[1.586 1.526 2.976],[-0.137 -0.17  -0.199],[0.162 0.204 0.287],[157.  66.   3.],[13.6  8.6 13.1],[12.2  8.2 13. ],[4093.  2221.4  278.9],3,7.29810443,386.3728943,137.0137655,379.0747899,1.723796578,1.287253659,[ 1.38011087 21.24330872],11.3117098,0.785062666,0.806679096,0.536370107,[0.8262616  0.14122094],0.483741269,1.526,2.976,2.029333333,1.45,0.669842436,0.330080044,0.134703115,[0.96216898 1.95019659],1.456182785,0.238173456,0,2,1,0,0,0,0,[0.19005544 6.41443624],0.190055436,3.302245838,[0. 0.]
4500,15.822,3.40494,4223,0.64,0.64,4.632,0.027,0,[ 8.70179277 14.75102769 44.9847468 ],[1.254 1.405 1.789],[-0.099 -0.145 -0.123],[0.099 0.145 0.146],[127.  76.  27.],[11.8  9.5 12.7],[10.9  8.6 10.7],[3068.5 1450.   938.9],3,8.70179277,44.9847468,22.81252242,36.28295403,0.713456544,0.695733718,[0.69517111 2.04960086],1.372385986,0.3783973,0.285457292,0.128843588,[1.3154843  1.46369962],1.389591957,1.254,1.789,1.482666667,0.535,0.225211506,0.151896249,0.064526869,[1.12041467 1.27330961],1.196862141,0.120278777,0,3,0,0,0,0,0,[0.01710266 0.01653362],0.016533622,0.016818143,[0. 0.]
4524,15.696,0.14166,5726,2.27,1.26,3.806,-0.003,0,[3.33932408 4.52626961 7.99141011],[0.823 0.888 1.042],[-0.06  -0.062 -0.077],[0.073 0.08  0.084],[401. 304. 160.],[10.7 12.5 12.8],[ 8.4  9.3 10.7],[9229.3 9534.1 5170.4],3,3.33932408,7.99141011,5.285667933,4.65208603,0.37896485,0.373398083,[0.35544484 0.76556211],0.560503476,0.279865957,0.13140543,0.057525054,[0.55987197 0.91868925],0.73928061,0.823,1.042,0.917666667,0.219,0.091834392,0.100073802,0.042757883,[1.07897934 1.17342342],1.126201384,0.079549582,2,1,0,0,1,0,0.5,[0.01658363 0.05933726],0.016583634,0.037960449,[1.33333333 0.        ]
4772,15.514,0.80696,6312,1.26,1.14,4.298,-0.199,0,[3.38085113 5.14993121 9.01805462],[1.807 1.528 1.606],[-0.143 -0.164 -0.168],[0.154 0.164 0.184],[338. 218. 121.],[11.6  7.8  7.1],[9.3 0.  0. ],[9459.5 7735.5 5949.1],3,3.38085113,9.01805462,5.84961232,5.63720349,0.426086814,0.402412739,[0.52326471 0.75110196],0.637183333,0.065032405,0.069582082,0.030286369,[0.26676412 0.99413152],0.630447819,1.528,1.807,1.647,0.279,0.117532974,0.071361854,0.030560951,[0.84560044 1.05104712],0.948323782,0.056466302,0,3,0,0,1,0,0.5,[0.01550981 0.05066117],0.015509805,0.03308549,[1.5 0. ]
6132,11.399,0.49563,7867,1.67,1.67,4.211,-0.009,0,[ 7.58456219 11.86688351 33.32018333],[3.007 2.284 7.261],[-0.269 -0.222 -0.544],[0.35  0.289 0.761],[21. 15.  4.],[23.8 13.4 84.5],[22.2 12.1 59.2],[520.4 485.7 204.9],3,7.58456219,33.32018333,17.59054301,25.73562114,0.642776866,0.64006511,[0.56461022 1.80782931],1.186219764,0.451332124,0.284330768,0.12829491,[0.68659989 1.3405513 ],1.013575595,2.284,7.261,4.184,4.977,2.195697156,0.524784215,0.221366207,[0.75956102 3.1790718 ],1.969316414,0.396510516,0,0,2,1,0,0,0,[ 0.04307348 -0.0640569 ],0.043073479,0.053565188,[0. 0.]
6145,12.182,0.32785,7905,1.96,1.77,4.099,-0.024,0,[ 7.31364738 19.67274719 32.65782278],[1.751 2.851 2.785],[-0.147 -0.142 -0.141],[0.171 0.213 0.197],[24.  8.  5.],[ 9.2 20.6 17.9],[ 8.2 13.2 13.6],[480.3 324.6 245.6],3,7.31364738,32.65782278,19.88140578,25.3441754,0.649853211,0.520474675,[1.68986816 0.66005401],1.174961081,0.314166074,0.236743121,0.105550142,[1.22471357 1.45491737],1.339815469,1.751,2.851,2.462333333,1.1,0.503709793,0.204566046,0.098036175,[1.62821245 0.97685023],1.302531339,0.148910248,0,1,2,0,0,1,0.5,[-0.10337728 -0.0039676 ],0.003967596,0.053672439,[0.         1.66666667]
