KOI,kepmag,rhostar,mstar,logg,[M/H],TTVperiod,radius,radius_em,radius_ep,nTT,SNR,MES,chisqwttv,n,minper,maxper,meanper,perrange,lograngep,normstdp,meandpp,gapc,gini,qdisp,meanzeta,minrad,maxrad,meanrad,radrange,stdr,normstdr,qdispr,gini_r,subearth,supearth,subnep,nepplus,
2248,12.301,0.24085,1.64,4.0,0.023,[0.76196218 2.64622956 2.81814116 4.74507981],[1.08  1.026 1.313 0.978],[-0.093 -0.135 -0.1   -0.105],[0.13  0.15  0.188 0.14 ],[1741.  490.  470.  282.],[18.3  8.4 16.5 10.9],[16.8  7.6 18.7  0. ],[20572.9  6751.8  7626.   6073.7],4,0.76196218,4.74507981,2.7428531775000002,3.9831176299999997,0.7943101057888478,0.5139159998886571,1.0738805324719034,0.7367706882842344,0.3870280539971663,0.21764426331933556,1.2598445512355372,0.978,1.313,1.0992499999999998,0.33499999999999996,0.12857561005105128,0.11696666822929389,0.048700859944908775,0.08028201046167842,1,3,0,0,
2263,14.456,0.34557,1.22,4.063,0.027,[ 9.47852438 15.59458181 29.96864759],[2.344 1.691 3.043],[-0.135 -0.139 -0.176],[0.162 0.139 0.176],[144.  89.  46.],[26.7 11.9 26.5],[20.   8.4 19.8],[7304.7 5073.  2552.5],3,9.47852438,29.96864759,18.347251259999997,20.49012321,0.49992641328259324,0.4681097074918519,0.7834943924626601,0.058751026636678104,0.07751087861279614,0.033755577544674766,0.802701157220408,1.691,3.043,2.3593333333333333,1.352,0.5520581692378279,0.23398905166904263,0.10510858101641891,0.19101441085052276,0,1,2,0,
2298,13.831,1.04611,0.85,4.329,0.186,[ 2.47241084 16.66710278 31.80591683],[0.715 1.382 1.231],[-0.058 -0.075 -0.092],[0.078 0.109 0.127],[525.  81.  41.],[ 9.  17.9 10.9],[ 7.7 12.8  9.2],[9068.2 2382.9 1237.5],3,2.47241084,31.80591683,16.98181015,29.33350599,1.1093872799272475,0.7053088560372025,3.324770096633365,0.6511763526568543,0.558749937471063,0.28584232097520473,0.4126953447346231,0.715,1.382,1.1093333333333335,0.6669999999999999,0.28556882805298545,0.25742382336507097,0.1258841692785371,0.20042067307692304,1,2,0,0,
2352,10.421,0.52528,1.14,4.218,-0.147,[ 5.6290675   8.2562501  13.39147403],[0.923 0.903 1.034],[-0.038 -0.044 -0.044],[0.053 0.064 0.057],[232. 164. 101.],[32.2 18.2 24.5],[23.3 14.5 18.3],[6406.3 3026.4 2911.3],3,5.6290675,13.39147403,9.092263876666665,7.76240653,0.37639192696497425,0.3545492210039916,0.5443486884314748,0.043641747386023166,0.05026811170221553,0.02185648586938137,0.8022853111658236,0.903,1.034,0.9533333333333335,0.131,0.05762136949276911,0.06044199597143612,0.025797421468535493,0.0458041958041958,2,1,0,0,
2433,15.188,1.48005,0.94,4.443,-0.006,[ 3.37375965  6.0632531  10.04380879 15.16213142 27.90426394 56.41581418 86.43086179],[1.206 1.441 2.313 2.406 1.903 2.423 2.252],[-0.101 -0.106 -0.162 -0.146 -0.142 -0.161 -0.199],[0.11  0.129 0.21  0.549 0.184 0.21  0.199],[334. 183. 113.  71.  43.  20.  14.],[11.1 12.4 28.8 28.5 12.8 16.4 11.2],[ 0.   7.9 24.  19.   9.2 11.7  7.2],[8457.7 5560.2 4935.6 4257.6 1909.2 1192.4  804.2],7,3.37375965,86.43086179,29.341984695714284,83.05710214,1.4085547035276313,0.9796550868390019,0.726245378689225,0.027299072857823105,0.07002809641010707,0.045071183268950835,0.5502581228160535,1.206,2.423,1.9920000000000004,1.217,0.45624492169385134,0.22903861530815825,0.11255352965055505,0.14321572002294894,0,2,5,0,
2485,15.311,3.01978,0.72,4.613,-0.239,[3.6008407  5.72716427 9.99116477],[1.18  1.207 1.358],[-0.071 -0.078 -0.094],[0.106 0.139 0.131],[296. 181. 102.],[17.9 16.  16.7],[14.5 12.8 13.3],[5100.8 3721.3 2456.1],3,3.6008407,9.99116477,6.4397232466666665,6.390324069999999,0.4432122124764033,0.41260301025758356,0.6675148295057836,0.026659763114986912,0.04618087464336688,0.020075728538514952,0.9745274160248839,1.18,1.358,1.2483333333333333,0.17800000000000016,0.0783255315263733,0.06274408399976499,0.026763653767647867,0.04753004005340458,0,3,0,0,
2579,15.147,1.21055,1.1,4.41,0.028,[ 2.72960744  3.59647062 10.30132666],[1.302 1.329 1.394],[-0.072 -0.082 -0.102],[0.112 0.118 0.123],[491. 372. 126.],[18.4 16.2 12.6],[14.4 12.7  9.3],[11403.4  7440.6  3513.8],3,2.72960744,10.30132666,5.542468240000001,7.57171922,0.5767929658445481,0.6104823926692259,1.0909328470885922,0.8237339008857586,0.3698611754634485,0.17161920593725843,0.9186527583734944,1.302,1.394,1.3416666666666668,0.09199999999999986,0.038612030364756585,0.028779153066899314,0.012423232703736216,0.02285714285714282,0,3,0,0,
2585,13.455,0.82998,0.87,4.381,-0.339,[ 5.34182216  7.87845619 10.42309397],[0.966 0.764 0.99 ],[-0.046 -0.057 -0.1  ],[0.063 0.075 0.13 ],[246. 175. 124.],[19.2 10.5 11.2],[15.3  8.1  8.9],[7537.8 5644.8 2692.6],3,5.34182216,10.42309397,7.881124106666667,5.08127181,0.29030722780130247,0.26321389684285146,0.3989249582803902,0.08475980702388024,0.05428318633351136,0.023606783973563354,0.3029572498212103,0.764,0.99,0.9066666666666666,0.22599999999999998,0.10135526078546139,0.11178889057220007,0.050809189705115464,0.08308823529411764,3,0,0,0,
2597,14.79,1.27588,0.87,4.458,-0.291,[ 5.61355807  8.00503248 12.1307292 ],[1.294 1.384 1.476],[-0.087 -0.085 -0.094],[0.095 0.101 0.103],[241. 158. 109.],[15.2 15.6 15.3],[12.6 13.9 11.7],[5766.8 4740.6 3567.8],3,5.61355807,12.1307292,8.583106583333333,6.5171711299999995,0.3346486882686922,0.31362075925232713,0.47070272878787167,0.020254806253872656,0.030383537364550205,0.013200988887334248,0.6105521539394768,1.294,1.476,1.3846666666666667,0.18199999999999994,0.07430268426435807,0.05366106229972899,0.023342508558913195,0.04381319210399613,0,3,0,0,
2674,13.349,0.32992,1.09,4.098,0.095,[  2.53575336  11.17280657 197.5112454 ],[1.39  1.471 9.546],[-0.075 -0.087 -0.261],[0.106 0.13  0.313],[513. 120.   7.],[ 25.5  17.  175.2],[ 19.6  12.3 125.4],[16821.5  5960.3   640.5],3,2.53575336,197.5112454,70.40660177666668,194.97549204,1.8914848178168144,1.2775179357069204,10.041981764615299,0.30785019310207373,0.6009675222694488,0.3169910376228898,0.5303247856228624,1.39,9.546,4.135666666666666,8.155999999999999,3.8258263014529144,0.9250809143514744,0.4311772408606313,0.657370839042476,0,2,0,1,
