KOI,kepmag,rhostar,mstar,logg,[M/H],TTVperiod,radius,radius_em,radius_ep,nTT,SNR,MES,chisqwttv,n,minper,maxper,meanper,perrange,lograngep,normstdp,meandpp,gapc,gini,qdisp,meanzeta,minrad,maxrad,meanrad,radrange,stdr,normstdr,qdispr,gini_r,subearth,supearth,subnep,nepplus,Unnamed: 38,N_first,N_second,deltas,min_abs_delta,med_abs_delta,res_summary
1832,15.009,2.25684,0.91,4.535,0.019,[ 4.54442859 12.76218266 38.71471336],[2.406 2.065 2.132],[-0.12  -0.128 -0.15 ],[0.152 0.167 0.18 ],[286.  98.  32.],[42.5 17.4 16.2],[45.  20.  18.3],[5082.2 1129.3 1052.6],3,4.54442859,38.71471336,18.67377487,34.170284769999995,0.9303967647178658,0.7798525031236002,1.9209317960390468,0.0042362030801165,0.0385554177833939,0.0167558237240908,1.408124551846288,2.065,2.406,2.201,0.3410000000000002,0.1475149709916477,0.0670217950893447,0.0286032474960114,0.0516431924882629,0,0,3,0,,0,1,[-0.06389532  0.01118318],0.011183180584043884,0.03753924857102825,[0. 3.]
1833,14.394,1.37737,1.02,4.435,-0.064,[3.69298793 5.70939527 7.68434094],[1.845 1.624 2.26 ],[-0.076 -0.092 -0.088],[0.118 0.129 0.165],[287. 177. 132.],[33.9 20.2 28.5],[49.3 29.5 44.4],[4815.3 2935.  2028.3],3,3.69298793,7.68434094,5.695574713333333,3.99135301,0.3182287372360936,0.2860979672900661,0.4459606311238717,0.1139503526721775,0.0691921315362331,0.0301158893570464,0.4164273451308647,1.624,2.26,1.9096666666666664,0.6359999999999997,0.2636415917280292,0.1380563405802212,0.0592369294908227,0.1110141385931226,0,2,1,0,,1,0,[0.03067315 0.00943365],0.009433649704200686,0.020053401288370076,[0.         1.33333333]
1835,13.259,4.859,0.54,4.709,-0.72,[2.24828597 4.58034978 6.76690755],[1.749 1.896 1.709],[-0.085 -0.088 -0.082],[0.151 0.146 0.128],[599. 296. 199.],[59.5 49.8 29.7],[44.2 36.  22.3],[9423.7 5476.4 2953.6],3,2.24828597,6.76690755,4.531847766666666,4.51862158,0.4785386928048325,0.4071271610895129,0.7573204422564503,0.2607575162038756,0.159300792943737,0.0700006319742179,0.1960512154943011,1.709,1.896,1.7846666666666666,0.1869999999999998,0.080400386953187,0.0450506464063431,0.019335410094621,0.0349271572655957,0,3,0,0,,1,0,[ 0.01863149 -0.0150814 ],0.015081398434160564,0.016856444758115707,[2. 0.]
1843,15.943,2.29141,0.77,4.541,0.106,[0.17689174 4.19450203 6.35581289],[0.684 1.387 0.728],[-0.041 -0.063 -0.064],[0.072 0.08  0.083],[5817.  234.  152.],[32.9 45.   9.2],[ 0.  40.   9.9],[22673.8  4167.4  2348.3],3,0.17689174,6.35581289,3.5757355533333333,6.17892115,1.555463549540966,0.7159919826610536,11.613763622077864,0.9984848763864868,0.8798715132490965,0.6790426074627084,0.1549616849787599,0.684,1.387,0.9330000000000002,0.703,0.3215286405076019,0.344618049847376,0.1407587787462344,0.2511611289746338,2,1,0,0,,1,0,[6.90408497 0.01018156],0.010181557435873678,3.4571332633849243,[0.  1.5]
1860,14.028,1.5256,1.02,4.419,0.116,[ 3.07644041  6.3194466  12.20950873 24.84327724],[1.468 2.397 2.301 1.482],[-0.065 -0.099 -0.099 -0.1  ],[0.101 0.149 0.177 0.141],[358. 182.  94.  47.],[29.3 61.  45.5 14.2],[22.4 45.6 32.   8.8],[8404.5 5233.9 3300.1 1869.9],4,3.07644041,24.84327724,11.612168245,21.76683683,0.9071603786102028,0.715714391006323,1.006981383382941,0.0025821552701665,0.0202773682849851,0.0116962972649353,0.157842767981576,1.468,2.397,1.912,0.9289999999999998,0.4383440429616901,0.2292594366954446,0.101881720295502,0.1571652719665271,0,2,2,0,,2,0,[ 0.02707119 -0.03397327  0.01737415],0.0173741544144832,0.02707118581893808,[2. 0. 2.]
1867,15.018,3.7775,0.59,4.647,0.135,[ 2.54956563  5.21229969 13.96953338],[1.337 1.245 2.003],[-0.056 -0.057 -0.107],[0.081 0.082 0.16 ],[498. 251.  95.],[43.5 29.3 37. ],[35.1 22.2 27.2],[7804.1 4700.6 1382.9],3,2.54956563,13.96953338,7.243799566666667,11.41996775,0.738715703852801,0.673467964497348,1.3622483673125518,0.0813251577834752,0.1345586832650876,0.0589283960191696,0.6709522514640681,1.245,2.003,1.528333333333333,0.758,0.3377349388039219,0.2209825117582913,0.0914717872457487,0.1653217011995638,0,2,1,0,,1,0,[ 0.02219367 -0.1066302 ],0.022193668730935867,0.06441193483826263,[2. 0.]
1889,15.338,2.23802,0.9,4.53,0.038,[ 4.88626877  9.18184049 14.30517935],[0.677 1.508 2.352],[-0.089 -0.125 -0.132],[0.089 0.153 0.199],[217. 119.  75.],[ 7.1 18.2 37.5],[ 0.  13.2 29.1],[8712.4 2544.2 2842.9],3,4.88626877,14.30517935,9.45776287,9.41891058,0.466515955374172,0.4070942385387417,0.7185484298824647,0.0973183614627192,0.0934290719898369,0.0407389224979861,0.5180302600271353,0.677,2.352,1.5123333333333333,1.6749999999999998,0.6838227515632654,0.452164041148291,0.229947068163998,0.3691866872382631,1,1,1,0,,0,0,[-0.06044459  0.03865736],0.03865736327263636,0.049550977922324546,[0. 0.]
1895,14.898,2.43906,0.82,4.57,-0.171,[ 8.45747329 17.28125508 32.13408541],[2.425 2.645 2.366],[-0.14  -0.176 -0.187],[0.21  0.313 0.258],[164.  79.  43.],[21.8 20.3 11.8],[30.9 25.3 13.9],[3401.6 2083.  1073.4],3,8.45747329,32.13408541,19.29093792666667,23.67661212,0.579725308779019,0.5064470317578376,0.9513940898088836,0.0162501908249003,0.047103618630023,0.0204776725642338,0.3075193500950467,2.366,2.645,2.478666666666667,0.2789999999999999,0.1200564681954102,0.0484359070180514,0.0207702833560532,0.0375201721355567,0,0,3,0,,1,0,[ 0.02165591 -0.07026182],0.021655906406061076,0.04595886150161932,[2. 0.]
1905,14.017,3.10496,0.74,4.59,-0.124,[ 7.62636346 15.99569913 34.21109238],[1.169 1.011 1.117],[-0.059 -0.057 -0.071],[0.089 0.085 0.111],[168.  81.  40.],[32.5 20.  20.7],[30.7 19.1 14. ],[3817.4 2163.  1434. ],3,7.62636346,34.21109238,19.27771832333333,26.58472892,0.6518494424858281,0.5757174654747482,1.1180948709878158,0.0005530030740375,0.0097603338218327,0.004239044211074,0.3159469352682355,1.011,1.169,1.099,0.1580000000000001,0.0657469897916754,0.0598243765165381,0.0263485167665492,0.0479223536548377,0,3,0,0,,0,0,[0.04871078 0.06938409],0.04871077899033138,0.059047435493907785,[0. 0.]
1909,12.776,1.4377,1.02,4.411,0.013,[ 5.47031904 12.75800293 25.09843925],[1.061 1.378 1.302],[-0.038 -0.052 -0.066],[0.06  0.062 0.098],[235. 104.  55.],[32.7 41.6 21.3],[25.3 32.7 19.2],[6628.7 3584.2 1389.2],3,5.47031904,25.09843925,14.442253739999998,19.62812021,0.6616340596577805,0.560934929286714,1.1497465236960844,0.0404276724226074,0.0848827060235236,0.0369863580769341,0.424818125311368,1.061,1.378,1.247,0.3169999999999999,0.1351320341986557,0.1083657050510471,0.0488350769302615,0.0847367014167334,0,3,0,0,,0,0,[ 0.16611141 -0.01636489],0.016364889249951053,0.09123815109799327,[0. 0.]
1916,13.598,0.32065,1.26,4.367,0.204,[ 2.02482998  9.5999319  20.67860451],[4.24  8.836 9.416],[-2.074 -4.522 -4.7  ],[3.851 6.782 8.225],[670. 143.  63.],[20.2 52.  42.6],[16.  32.3 26.1],[14922.4  5002.5  2485.9],3,2.02482998,20.67860451,10.767788796666666,18.65377453,1.0091326647251384,0.7113823539807645,2.447570879982521,0.3449340403762145,0.3752016540605732,0.1744526540740541,0.6011655521124415,4.24,9.416,7.497333333333334,5.176,2.315421535895546,0.3088326786273625,0.1593321484870797,0.2301262671171972,0,0,0,3,,0,0,[0.58036839 0.07701829],0.07701829166100649,0.32869334193767474,[0. 0.]
1930,12.119,0.29636,1.11,4.04,-0.009,[ 9.34143183 13.72714466 24.31093759 44.43018521],[1.593 2.503 2.403 2.736],[-0.067 -0.094 -0.099 -0.107],[0.105 0.146 0.118 0.149],[114.  73.  45.  23.],[29.4 62.5 48.9 50.5],[18.7 37.9 31.8 29.4],[5890.  4289.6 3212.  1932.3],4,9.34143183,44.43018521,22.9524248225,35.08875338,0.6772646747848301,0.5899875851798048,0.6893608273297146,0.0582533402985309,0.070655844842914,0.0418477213711283,0.635307873892208,1.593,2.736,2.3087500000000003,1.1430000000000002,0.4305394145719995,0.1864816089104491,0.0907513309739818,0.1273777296516874,0,1,3,0,,0,0,[-0.02033971  0.06260719 -0.08620996],0.020339714523899155,0.06260718563739531,[0. 0. 0.]
