R, f
0.06585365853658537, 0.0010638297872340426
0.13170731707317074, 0.0010638297872340426
0.21951219512195122, 0.002127659574468085
0.3073170731707317, 0.00425531914893617
0.3804878048780488, 0.013829787234042554
0.4317073170731708, 0.022340425531914895
0.475609756097561, 0.03404255319148936
0.5414634146341464, 0.05
0.5853658536585367, 0.06489361702127659
0.6365853658536585, 0.08191489361702128
0.6951219512195123, 0.10638297872340426
0.7536585365853659, 0.13191489361702127
0.8487804878048781, 0.17659574468085107
0.9365853658536586, 0.225531914893617
1.002439024390244, 0.26595744680851063
1.0902439024390245, 0.33191489361702126
1.1195121951219513, 0.3595744680851064
1.1707317073170733, 0.41914893617021276
1.221951219512195, 0.4702127659574468
1.2658536585365854, 0.5191489361702127
1.3170731707317074, 0.5680851063829787
1.3609756097560977, 0.6021276595744681
1.426829268292683, 0.6191489361702128
1.4853658536585366, 0.6074468085106383
1.5219512195121951, 0.5904255319148937
1.5585365853658537, 0.5691489361702128
1.5951219512195123, 0.5393617021276595
1.6463414634146343, 0.5021276595744681
1.6902439024390246, 0.46702127659574466
1.7414634146341463, 0.4372340425531915
1.8219512195121952, 0.39893617021276595
1.9170731707317075, 0.3638297872340426
1.982926829268293, 0.34787234042553195
2.0341463414634147, 0.3372340425531915
2.1, 0.33617021276595743
2.1951219512195124, 0.3414893617021277
2.282926829268293, 0.3553191489361702
2.378048780487805, 0.3670212765957447
2.473170731707317, 0.3723404255319149
2.5682926829268293, 0.36808510638297876
2.626829268292683, 0.35425531914893615
2.7, 0.33085106382978724
2.7731707317073173, 0.3
2.8463414634146345, 0.26595744680851063
2.9195121951219516, 0.2351063829787234
3.051219512195122, 0.1925531914893617
3.234146341463415, 0.15106382978723404
3.4829268292682927, 0.11170212765957448
3.6658536585365855, 0.07765957446808511
3.8487804878048784, 0.05
3.965853658536586, 0.04042553191489362
4.090243902439025, 0.03297872340425532
4.207317073170732, 0.02872340425531915
4.324390243902439, 0.02446808510638298
4.463414634146342, 0.02127659574468085
4.595121951219513, 0.018085106382978725
4.71219512195122, 0.012765957446808512
4.8585365853658535, 0.007446808510638298
4.990243902439024, 0.003191489361702128
5.129268292682927, 0.0010638297872340426
5.3707317073170735, 0.0010638297872340426
5.65609756097561, 0.002127659574468085
5.831707317073171, 0.002127659574468085
5.941463414634146, 0.0010638297872340426
